City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
1,Rikitea,PF,73.11,-23.1203,-134.9692,broken clouds,People ThankYou
5,Hambantota,LK,86.34,6.1241,81.1185,few clouds,Bungalow 63
6,Kamaishi,JP,74.64,39.2667,141.8833,clear sky,Hotel Route Inn Kamaishi
7,Georgetown,MY,86.9,5.4112,100.3354,scattered clouds,Cititel Penang
15,Kidal,ML,87.55,18.4411,1.4078,scattered clouds,
19,Isangel,VU,80.33,-19.55,169.2667,overcast clouds,Tanna Lodge
21,Vaini,TO,77.16,-21.2,-175.2,broken clouds,Keleti Beach Resort
24,Kapaa,US,85.98,22.0752,-159.319,clear sky,Sheraton Kauai Coconut Beach Resort
25,The Valley,AI,82.81,18.217,-63.0578,broken clouds,CeBlue Villas & Beach Resort
27,Hithadhoo,MV,80.64,-0.6,73.0833,scattered clouds,Scoop Guest House
29,Guerrero Negro,MX,77.05,27.9769,-114.0611,clear sky,"Casa Laguna, Bed & Breakfast"
35,Kavieng,PG,85.03,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
36,Denpasar,ID,83.86,-8.65,115.2167,scattered clouds,OYO 3156 Hotel Warta 2
38,Luwuk,ID,85.68,-0.9516,122.7875,overcast clouds,Hotel Santika Luwuk
41,Atuona,PF,76.41,-9.8,-139.0333,few clouds,Villa Enata
44,Avarua,CK,78.85,-21.2078,-159.775,broken clouds,Paradise Inn
45,Bandarbeyla,SO,77.45,9.4942,50.8122,scattered clouds,JABIR HOTEL
53,Hilo,US,83.28,19.7297,-155.09,few clouds,Hilo Hawaiian Hotel
54,Padang,ID,80.65,-0.9492,100.3543,heavy intensity rain,Mercure Padang
58,Butaritari,KI,81.82,3.0707,172.7902,broken clouds,Isles Sunset Lodge
60,San Mateo Del Mar,MX,80.58,16.2,-95.0,broken clouds,
65,Mudgal,IN,78.21,16.0167,76.4333,overcast clouds,Fi Rab Hotel
66,Gamba,GA,73.69,-2.65,10.0,broken clouds,
67,Tura,IN,84.0,25.5198,90.2201,few clouds,Hotel RIKMAN Continental
68,Busselton,AU,72.82,-33.65,115.3333,clear sky,Observatory Guest House
71,Abnub,EG,75.42,27.2696,31.1511,clear sky,دوار ال عبد الجواد شرق البلد بابنوب
74,Amarkantak,IN,76.42,22.6667,81.75,scattered clouds,STARiHOTELS Amarkantak Madhya Pradesh
78,Ierapetra,GR,74.14,35.01,25.7353,clear sky,Cretan Villa Hotel & Apartments in Ierapetra Crete.
80,Miri,MY,89.74,4.4148,114.0089,scattered clouds,"Mega Hotel, Miri"
88,Meihekou,CN,71.24,42.5272,125.6753,clear sky,如家宾馆
96,Cabo San Lucas,MX,83.61,22.8909,-109.9124,clear sky,Hotel Tesoro Los Cabos
98,Santa Ana,US,82.4,33.7456,-117.8678,few clouds,"Motel 6 Santa Ana, CA"
99,Shangzhi,CN,75.63,45.2167,127.9667,few clouds,Ocean Zhixing Business Clubhouse
101,Geraldton,AU,84.61,-28.7667,114.6,scattered clouds,Broadwater Mariner Resort
102,Bandrele,YT,73.15,-12.9067,45.1914,clear sky,Les Baobabs
105,Luanda,AO,70.2,-8.8368,13.2343,scattered clouds,EPIC SANA Luanda
108,Cockburn Town,TC,82.78,21.4612,-71.1419,few clouds,Osprey Beach Hotel
119,Macau,MO,87.85,22.2006,113.5461,light rain,Grand Emperor Hotel Macau
121,Natal,BR,79.02,-5.795,-35.2094,few clouds,Villa Park Hotel | Natal
122,Nouadhibou,MR,78.78,20.931,-17.0347,overcast clouds,El Medina
130,Maiduguri,NG,75.47,11.8464,13.1603,broken clouds,Kagel Mari Police Station
132,Karaton,ID,88.3,-6.3424,106.1045,broken clouds,Parkir Mobil Wisata CAS Water Park
133,Poum,NC,77.61,-20.2333,164.0167,light rain,
135,Benguela,AO,70.52,-12.5763,13.4055,broken clouds,Hotel Praia Morena
136,Billings,US,76.77,45.7833,-108.5007,clear sky,Best Western Plus Clocktower Inn
137,Ponta Do Sol,PT,70.72,32.6667,-17.1,broken clouds,Hotel do Campo
140,Buchanan,LR,72.72,5.8808,-10.0467,very heavy rain,Kamaneahn Hotel Inc
141,Chima,IN,83.89,30.6854,76.0863,clear sky,Jagga Lamrdar home
151,Korla,CN,72.39,41.7597,86.1469,scattered clouds,Gulisitan Hotel
152,Sao Miguel Do Araguaia,BR,80.8,-13.275,-50.1628,overcast clouds,Hotel Executivo Palace
155,Dingle,PH,85.37,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
163,Airai,TL,76.93,-8.9266,125.4092,broken clouds,
168,Bireun,ID,81.23,5.203,96.7009,overcast clouds,Rumah Bp.AR. ISMAIL
176,Shimoda,JP,70.16,34.6667,138.95,overcast clouds,Shimoda Tokyu Hotel
186,Lang Son,VN,73.27,21.8333,106.7333,overcast clouds,Khai Nga Hotel
187,Zhangye,CN,75.7,38.9342,100.4517,clear sky,Zhangye Lvzhou Holiday Inn
188,Touros,BR,75.97,-5.1989,-35.4608,clear sky,INN NEW HORIZON
189,Ixtapa,MX,77.23,20.7,-105.2,overcast clouds,hotel la terminal
190,Baherden,TM,76.37,38.4362,57.4316,clear sky,
191,Cayenne,GF,75.24,4.9333,-52.3333,clear sky,Hôtel Le Dronmi
192,Diu,IN,81.19,20.7141,70.9822,clear sky,Hotel Relax Inn
196,Victoria,HK,82.18,22.2855,114.1577,overcast clouds,Mini Central
197,Sindang,ID,84.25,-7.0047,108.335,scattered clouds,Kos kebumen mas Helmi
200,Carnarvon,AU,78.75,-24.8667,113.6333,light rain,Hospitality Carnarvon
203,Trincomalee,LK,86.54,8.5711,81.2335,broken clouds,Welcombe Hotel
206,Huinan,CN,72.18,42.6225,126.2614,clear sky,Jinxi Fashion Hotel
210,Vanimo,PG,85.26,-2.6741,141.3028,scattered clouds,Vahmoneh Lodge Vanimo
215,Alofi,NU,78.69,-19.0595,-169.9187,scattered clouds,Taloa Heights
216,Barstow,US,88.79,34.8986,-117.0228,broken clouds,"Motel 6 Barstow, CA"
217,Hasaki,JP,82.29,35.7333,140.8333,overcast clouds,Inubosaki Kanko Hotel
218,Moussoro,TD,82.24,13.6408,16.4901,few clouds,Pharmacie alnadja Moussoro
221,Vao,NC,74.68,-22.6667,167.4833,light rain,Hotel Kou-Bugny
222,Payo,ID,89.96,-3.7508,103.6372,overcast clouds,Mess keban agung
225,Cozumel,MX,82.47,20.5083,-86.9458,clear sky,Cozumel Palace® All Inclusive Resort
226,Galle,LK,82.69,6.0367,80.217,broken clouds,Amangalla
231,Ca Mau,VN,86.14,9.1769,105.15,moderate rain,Mường Thanh Luxury Cà Mau Hotel
234,Tautira,PF,78.06,-17.7333,-149.15,clear sky,Pension Oaoa
242,Kieta,PG,85.12,-6.2167,155.6333,broken clouds,Uruna Bay Retreat
243,Bharatpur,IN,86.86,27.2167,77.4833,clear sky,OYO 22446 Sonar Haveli
245,Sur,OM,83.03,22.5667,59.5289,clear sky,Sur Plaza Hotel
251,Yinchuan,CN,78.33,38.4681,106.2731,few clouds,JJ Inns - Yinchuan New Moon Square Branch
252,San Quintin,MX,72.01,30.4833,-115.95,clear sky,Don Eddie's Sport Fishing Center
256,Segou,ML,77.59,13.4317,-6.2157,few clouds,Comme chez soi
259,Cleburne,US,79.34,32.3476,-97.3867,scattered clouds,"Holiday Inn Express & Suites Cleburne, an IHG Hotel"
260,Prachuap Khiri Khan,TH,78.85,12.2167,99.75,overcast clouds,ผกากรองรีสอร์ท
261,Posse,BR,74.35,-14.0931,-46.3694,broken clouds,Pousada das Palmeiras
263,Chandigarh,IN,81.57,30.7343,76.7933,clear sky,Hotel Oyster
265,Hobyo,SO,78.12,5.3505,48.5268,broken clouds,Halane Hotel and Restaurent
269,Asaba,NG,72.09,6.2006,6.7338,overcast clouds,Crimson Suite Hotels
276,Tessalit,ML,89.49,20.1986,1.0114,broken clouds,
279,Wenatchee,US,71.89,47.4235,-120.3103,haze,SpringHill Suites by Marriott Wenatchee
281,Tari,NG,73.76,12.4086,4.4914,scattered clouds,
282,Nalut,LY,72.34,30.3333,10.85,broken clouds,
283,Umm Lajj,SA,87.53,25.0213,37.2685,clear sky,Moon light Furnished Units
284,Sabang,ID,80.51,5.8933,95.3214,light rain,Hotel Citra
286,Parintins,BR,78.62,-2.6283,-56.7358,few clouds,Cama e Cafe
289,Porangatu,BR,78.55,-13.4408,-49.1486,overcast clouds,Wembley Park Hotel
290,Sao Jose Da Coroa Grande,BR,74.34,-8.8978,-35.1478,scattered clouds,Crôa Mares Hotel
291,Xunchang,CN,77.13,28.4543,104.715,few clouds,Jiabin Inn
294,Beidao,CN,72.84,34.5686,105.8933,few clouds,Shell Tianshui Maiji District Erma Road Walking Street Hotel
295,Bairiki,KI,80.6,1.3292,172.9752,light intensity shower rain,Tarawa Boutique Hotel
297,Pitimbu,BR,73.99,-7.4706,-34.8086,clear sky,Reserva do Abiaí
298,Auki,SB,86.14,-8.7676,160.7034,broken clouds,Auki Motel
300,Ambilobe,MG,71.22,-13.2,49.05,clear sky,Hôtel & Restaurant DIANA Ambilobe
304,Cabedelo,BR,74.07,-6.9811,-34.8339,scattered clouds,Pousada Camboinha
307,Nieuw Amsterdam,SR,81.01,5.8833,-55.0833,broken clouds,Hotel Stardust
309,Shiyan,CN,80.4,32.6475,110.7781,overcast clouds,Fenghuang Garden Holiday Hotel
316,Katsuura,JP,73.51,35.1333,140.3,light rain,Katsuura Hotel Mikazuki
317,Bengkulu,ID,82.47,-3.8004,102.2655,broken clouds,Grage Hotel Bengkulu
328,Malakal,SS,71.64,9.5334,31.6605,broken clouds,Nile Palace Hotel
329,Saint George,US,78.94,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
330,Mucuri,BR,73.35,-18.0864,-39.5508,scattered clouds,La Bodeguita Pousada
334,Sharjah,AE,84.18,25.3573,55.4033,clear sky,Swiss Belhotel Sharjah
335,Saquena,PE,76.73,-4.6667,-73.5167,scattered clouds,
337,Tucupita,VE,72.54,9.0622,-62.051,overcast clouds,Hotel Tucupita Su​ite C.A.
338,Mogadishu,SO,78.67,2.0371,45.3438,broken clouds,Hotel Juba
340,Mexico,PH,87.51,15.0646,120.7198,overcast clouds,stone place
342,San Andres,CO,80.62,12.5847,-81.7006,few clouds,Hotel Arena Blanca
346,Bom Jesus Da Lapa,BR,76.59,-13.255,-43.4181,clear sky,Hotel das Nações
347,Rapar,IN,83.43,23.5667,70.6333,few clouds,Dharamshi Bapa’s Home
349,Jieshou,CN,87.01,33.2634,115.3611,scattered clouds,Vatica Jieshou City New Passenger Transport Center Hotel
352,Benjamin Constant,BR,77.13,-4.3831,-70.0311,broken clouds,CASA AVALIADA
356,Icod De Los Vinos,ES,70.77,28.3724,-16.7119,few clouds,Hotel El Patio
359,Vila Velha,BR,71.55,-20.3297,-40.2925,overcast clouds,Hotel Vitória Palace
364,West Wendover,US,70.81,40.7391,-114.0733,scattered clouds,"Motel 6 Wendover, UT"
365,Luis Correia,BR,77.7,-2.8792,-41.6669,broken clouds,Hotel Amarração
367,Srandakan,ID,82.22,-7.9386,110.2506,overcast clouds,Puri Brata
370,Sinnamary,GF,78.03,5.3833,-52.95,broken clouds,ALETHEIA Appartement Sinnamary
371,Yuci,CN,73.15,37.6803,112.7319,clear sky,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
373,Yatou,CN,74.95,37.15,122.3833,clear sky,GreenTree Hotel Rongcheng Bus Station
374,Kendari,ID,85.96,-3.945,122.4989,overcast clouds,Hotel Wixel
377,Nandurbar,IN,82.09,21.3667,74.25,few clouds,Hotel Heera Executive
379,Chabahar,IR,80.4,25.2919,60.643,few clouds,هتل گدروشیا
386,Kulhudhuffushi,MV,81.72,6.6221,73.07,overcast clouds,Haajy Guest House 1
387,Simbahan,PH,83.03,6.3032,120.5836,broken clouds,
395,Ambon,ID,84.09,-3.6954,128.1814,overcast clouds,Swiss-Belhotel Ambon
402,Labuhan,ID,88.93,-6.8844,112.2051,broken clouds,DoubleFAG
405,Meulaboh,ID,74.86,4.1363,96.1285,light rain,Kost Pria
408,Kota Belud,MY,84.38,6.351,116.4305,overcast clouds,Tang Dynasty Lodge Kota Belud
412,Unai,BR,80.35,-16.3575,-46.9061,overcast clouds,Hotel Regente
413,Acapulco,MX,82.22,16.8634,-99.8901,overcast clouds,HS Hotsson Smart Acapulco
415,Kalmunai,LK,86.52,7.4167,81.8167,broken clouds,VS Villa
419,San Cristobal,VE,71.78,7.7669,-72.225,overcast clouds,Pirineos
421,Santa Rosa,PH,89.02,14.3122,121.1114,broken clouds,Erlyn’s Sta Rosa City Home
422,Itoman,JP,88.18,26.1247,127.6694,scattered clouds,Southern Beach Hotel & Resort Okinawa
424,Eyl,SO,79.09,7.9803,49.8164,broken clouds,Amiin Hotel
428,Banda Aceh,ID,82.56,5.5577,95.3222,light rain,OYO 884 Rumoh PMI Hotel
430,Kuching,MY,80.82,1.55,110.3333,scattered clouds,Hilton Kuching
432,Osoyoos,CA,73.81,49.0331,-119.4524,overcast clouds,Watermark Beach Resort
440,Anloga,GH,75.2,5.7947,0.8973,light rain,Pin Drop Hotel
443,Kismayo,SO,77.22,-0.3582,42.5454,overcast clouds,Agan-Hotel
444,Chitrakonda,IN,81.72,18.1167,82.0833,broken clouds,Dantunaguda
446,Mount Isa,AU,80.37,-20.7333,139.5,clear sky,ibis Styles Mt Isa Verona
450,Alirajpur,IN,80.78,22.3031,74.3546,broken clouds,Shree Yatindrasuri Indra Bhavan
451,Catuday,PH,82.29,16.2923,119.8062,moderate rain,Benjie's Kubo & Cottages
454,Weston,US,80.62,26.1004,-80.3998,scattered clouds,Courtyard by Marriott Fort Lauderdale Weston
456,Angoche,MZ,75.88,-16.2325,39.9086,broken clouds,Guest House HESADA
457,Trairi,BR,78.21,-3.2778,-39.2689,scattered clouds,janelas do mar
460,Kavaratti,IN,81.41,10.5669,72.642,broken clouds,Green leaf
463,Karanja,IN,80.46,20.4833,77.4833,overcast clouds,Gurukrupa Hotel and Restaurant
464,Yumen,CN,74.61,40.2833,97.2,clear sky,
465,Kahului,US,84.22,20.8947,-156.47,few clouds,Maui Seaside Hotel
466,Buraydah,SA,70.25,26.326,43.975,clear sky,Mövenpick Qassim
467,Xicotencatl,MX,76.48,23.0167,-98.8833,broken clouds,Misioneros Vázquez Mireles
468,Panara,IN,78.64,22.0667,78.55,scattered clouds,Rahul Samuse Wala
470,Dire,ML,71.96,12.2833,-10.9667,broken clouds,
471,Owase,JP,76.71,34.0667,136.2,overcast clouds,Business Hotel Phoenix
472,Manaure,CO,82.67,11.7751,-72.4445,overcast clouds,Hotel Palaaima
