City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Codrington,AU,-38.2667,141.9667,57.96,71,43,11.36,scattered clouds
1,Rikitea,PF,-23.1203,-134.9692,73.11,61,58,16.08,broken clouds
2,Cuamba,MZ,-14.8031,36.5372,67.01,61,7,1.7,clear sky
3,Skibbereen,IE,51.55,-9.2667,50.11,89,23,7.99,few clouds
4,Albany,US,42.6001,-73.9662,54.36,83,4,1.01,clear sky
5,Hambantota,LK,6.1241,81.1185,86.34,70,20,11.5,few clouds
6,Kamaishi,JP,39.2667,141.8833,74.64,58,4,3.47,clear sky
7,Georgetown,MY,5.4112,100.3354,86.9,79,40,2.3,scattered clouds
8,Mackenzie,CA,55.2999,-123.1698,59.22,72,100,3.44,overcast clouds
9,Ayan,RU,56.45,138.1667,41.58,48,26,21.03,scattered clouds
10,Qaanaaq,GL,77.484,-69.3632,25.27,94,100,10.31,overcast clouds
11,Khatanga,RU,71.9667,102.5,28.47,97,100,13.82,light snow
12,Burnie,AU,-41.0667,145.9167,53.01,79,100,13.33,overcast clouds
13,Bethel,US,41.3712,-73.414,60.89,76,100,8.05,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,54.81,80,100,6.35,overcast clouds
15,Kidal,ML,18.4411,1.4078,87.55,30,34,6.35,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,46.51,71,40,21.85,scattered clouds
17,Hobart,AU,-42.8794,147.3294,54.27,73,75,6.91,broken clouds
18,Vyartsilya,RU,62.1764,30.693,42.62,100,100,9.26,light rain
19,Isangel,VU,-19.55,169.2667,80.33,56,100,10.0,overcast clouds
20,Jiblah,YE,13.9216,44.1467,66.34,52,81,3.67,broken clouds
21,Vaini,TO,-21.2,-175.2,77.16,73,75,11.5,broken clouds
22,Jamestown,US,42.097,-79.2353,51.03,77,100,3.44,overcast clouds
23,Chuy,UY,-33.6971,-53.4616,49.75,76,50,6.29,scattered clouds
24,Kapaa,US,22.0752,-159.319,85.98,72,0,10.36,clear sky
25,The Valley,AI,18.217,-63.0578,82.81,73,59,13.76,broken clouds
26,Bluff,NZ,-46.6,168.3333,49.8,70,95,18.34,light rain
27,Hithadhoo,MV,-0.6,73.0833,80.64,76,35,7.49,scattered clouds
28,Yellowknife,CA,62.456,-114.3525,36.12,75,20,4.61,few clouds
29,Guerrero Negro,MX,27.9769,-114.0611,77.05,76,1,7.09,clear sky
30,Adrar,MR,20.5022,-10.0711,91.13,20,67,20.92,broken clouds
