City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Maceio,BR,2022-09-26 00:52:39,-9.6658,-35.7353,72.84,94,20,4.61
1,Hameenlinna,FI,2022-09-26 00:52:39,60.996,24.4643,40.14,94,100,4.03
2,Landeck,AT,2022-09-26 00:52:40,47.1301,10.5636,48.94,93,100,1.9
3,Kulhudhuffushi,MV,2022-09-26 00:52:40,6.6221,73.07,82.29,75,79,12.39
4,Atuona,PF,2022-09-26 00:52:41,-9.8,-139.0333,77.32,76,39,21.05
5,Albany,US,2022-09-26 00:50:25,42.6001,-73.9662,61.21,90,100,4.61
6,Aripuana,BR,2022-09-26 00:52:42,-9.1667,-60.6333,80.47,43,1,1.59
7,Ushuaia,AR,2022-09-26 00:50:30,-54.8,-68.3,46.06,57,75,8.05
8,Tuatapere,NZ,2022-09-26 00:52:42,-46.1333,167.6833,62.2,56,66,1.03
9,Bluff,NZ,2022-09-26 00:52:43,-46.6,168.3333,55.18,76,74,3.18
10,Gorontalo,ID,2022-09-26 00:52:43,0.5412,123.0595,85.06,57,99,6.85
11,Namibe,AO,2022-09-26 00:52:44,-15.1961,12.1522,63.39,73,73,8.88
12,Moron,AR,2022-09-26 00:52:45,-34.6534,-58.6198,62.01,72,92,6.35
13,Kapaa,US,2022-09-26 00:52:46,22.0752,-159.319,86.11,70,0,8.05
14,Acapulco,MX,2022-09-26 00:49:30,16.8634,-99.8901,82.22,83,75,4.61
15,Gillette,US,2022-09-26 00:52:46,44.2911,-105.5022,66.06,39,0,1.01
16,Arraial Do Cabo,BR,2022-09-26 00:52:47,-22.9661,-42.0278,68.68,82,41,18.12
17,Penzance,GB,2022-09-26 00:52:47,50.1186,-5.5371,57.88,80,100,25.34
18,Cayeli,TR,2022-09-26 00:52:48,41.0923,40.7292,63.12,52,0,5.55
19,Rikitea,PF,2022-09-26 00:52:48,-23.1203,-134.9692,68.86,60,0,14.67
20,Saint-Philippe,RE,2022-09-26 00:52:49,-21.3585,55.7679,65.79,80,50,13.71
21,Karpogory,RU,2022-09-26 00:52:49,64.0019,44.4451,36.23,83,9,7.36
22,Omboue,GA,2022-09-26 00:52:50,-1.5746,9.2618,75.63,87,100,9.13
23,Mataura,NZ,2022-09-26 00:52:51,-46.1927,168.8643,66.56,51,47,2.37
24,Cape Town,ZA,2022-09-26 00:52:51,-33.9258,18.4232,58.12,83,40,3.44
25,Punta Arenas,CL,2022-09-26 00:49:14,-53.15,-70.9167,44.71,76,75,5.75
26,Port Alfred,ZA,2022-09-26 00:52:52,-33.5906,26.891,59.18,90,100,1.99
27,Kirakira,SB,2022-09-26 00:52:53,-10.4544,161.9205,82.87,76,31,3.13
28,Hauknes,NO,2022-09-26 00:52:53,66.2833,14.0667,54.34,73,75,17.27
29,Morondava,MG,2022-09-26 00:52:54,-20.2833,44.2833,72.48,69,2,1.57
30,Dikson,RU,2022-09-26 00:52:55,73.5069,80.5464,32.63,83,100,17.72
31,Sioux Lookout,CA,2022-09-26 00:52:55,50.1001,-91.917,50.07,87,75,16.11
32,Yumen,CN,2022-09-26 00:52:55,40.2833,97.2,63.32,14,57,3.47
33,Uribia,CO,2022-09-26 00:52:56,11.7139,-72.266,82.17,77,100,6.91
34,Ribeira Grande,PT,2022-09-26 00:52:56,38.5167,-28.7,71.46,73,26,20.69
35,Vaini,TO,2022-09-26 00:52:57,-21.2,-175.2,78.96,83,75,9.22
36,Simpsonville,US,2022-09-26 00:52:57,34.7371,-82.2543,71.62,82,0,10.36
37,Turkistan,KZ,2022-09-26 00:52:58,43.0,68.0,68.49,23,0,5.23
38,Georgetown,MY,2022-09-26 00:51:38,5.4112,100.3354,82.89,87,20,2.3
39,Nouadhibou,MR,2022-09-26 00:52:58,20.931,-17.0347,78.78,94,10,2.3
40,Nikolskoye,RU,2022-09-26 00:52:58,59.7035,30.7861,46.29,98,98,2.82
41,Bethel,US,2022-09-26 00:52:59,41.3712,-73.414,66.54,82,0,6.91
42,Port Elizabeth,ZA,2022-09-26 00:52:59,-33.918,25.5701,61.32,85,40,9.22
43,Saskylakh,RU,2022-09-26 00:53:00,71.9167,114.0833,32.54,77,100,17.65
44,San Antonio,US,2022-09-26 00:52:36,29.4241,-98.4936,89.38,52,20,10.36
45,Daugavpils,LV,2022-09-26 00:54:00,55.8833,26.5333,47.28,81,100,3.0
46,Ponta Do Sol,PT,2022-09-26 00:54:01,32.6667,-17.1,70.72,73,12,9.4
47,Tshikapa,CD,2022-09-26 00:54:02,-6.4167,20.8,70.81,85,100,2.39
48,Qaanaaq,GL,2022-09-26 00:54:02,77.484,-69.3632,30.69,87,100,9.51
49,Umm Lajj,SA,2022-09-26 00:54:03,25.0213,37.2685,93.52,25,1,16.93
50,Saint-Augustin,CA,2022-09-26 00:54:03,51.226,-58.6502,46.67,79,11,15.32
51,Banda Aceh,ID,2022-09-26 00:54:04,5.5577,95.3222,81.09,72,100,10.67
52,Adrar,MR,2022-09-26 00:44:11,20.5022,-10.0711,89.1,37,42,13.91
53,Labuhan,ID,2022-09-26 00:54:04,-6.8844,112.2051,83.37,64,25,12.66
54,Jacareacanga,BR,2022-09-26 00:54:05,-6.2222,-57.7528,82.26,46,51,4.68
55,Tres Picos,MX,2022-09-26 00:54:05,15.8667,-93.5333,79.57,85,100,1.99
56,Jamestown,US,2022-09-26 00:51:01,42.097,-79.2353,57.02,76,75,12.66
57,Chuy,UY,2022-09-26 00:51:10,-33.6971,-53.4616,58.5,82,100,11.3
58,High Level,CA,2022-09-26 00:54:06,58.5169,-117.136,64.51,45,75,2.3
59,Sinnamary,GF,2022-09-26 00:54:07,5.3833,-52.95,79.92,83,0,12.71
60,Klaksvik,FO,2022-09-26 00:54:07,62.2266,-6.589,41.92,95,100,51.47
61,Saldanha,ZA,2022-09-26 00:54:08,-33.0117,17.9442,55.45,88,100,6.24
62,Muzhi,RU,2022-09-26 00:54:08,65.3667,64.6667,26.49,86,12,4.05
63,Qaqortoq,GL,2022-09-26 00:54:09,60.7167,-46.0333,46.71,99,100,3.67
64,Busselton,AU,2022-09-26 00:54:09,-33.65,115.3333,57.16,71,0,4.63
65,Hobart,AU,2022-09-26 00:54:10,-42.8794,147.3294,59.05,62,75,9.22
66,Yellowknife,CA,2022-09-26 00:52:41,62.456,-114.3525,48.72,71,40,4.61
67,Ati,TD,2022-09-26 00:54:11,13.2154,18.3353,84.72,58,94,5.82
68,Russell,US,2022-09-26 00:54:11,32.3502,-85.1999,79.83,78,0,0.0
69,Vardo,NO,2022-09-26 00:54:11,70.3705,31.1107,42.78,93,0,5.75
